행정동,20대_매출_억(2024),20대_매출비중(%),20대_성장률_23v24(%),매출규모_순위,비중_순위,성장률_순위
조원동,196.0,7.98,-7.8,122,152,128
종로1·2·3·4가동,2123.4,9.23,-2.9,5,116,65
종로5·6가동,307.5,7.18,-9.7,74,182,162
종암동,103.5,6.3,-10.9,202,227,186
중계1동,10.4,2.2,-6.0,402,414,101
중계2·3동,125.6,5.88,-2.9,175,247,65
중계4동,85.1,4.87,-18.1,227,319,330
중계본동,61.8,3.57,-8.2,272,380,133
중곡1동,160.4,7.21,2.6,140,181,32
중곡2동,122.8,7.8,-9.2,179,160,151
중곡3동,58.9,7.72,-18.7,277,164,341
중곡4동,106.7,8.16,-8.8,195,139,146
중림동,76.4,5.88,-1.6,240,247,52
중앙동,190.6,12.72,-15.1,127,60,281
중화1동,26.7,3.22,-25.2,353,395,396
중화2동,114.5,7.44,-18.2,190,173,332
증산동,26.1,4.73,-14.7,356,327,265
진관동,74.8,5.57,-21.2,245,268,368
창1동,107.8,9.68,-14.0,194,101,251
창2동,44.5,5.38,-14.0,307,279,251
창3동,27.2,4.07,-23.8,349,356,387
창4동,69.4,7.73,-0.7,255,163,43
창5동,156.0,6.62,-7.1,143,211,113
창신1동,166.9,5.78,9.9,135,253,16
창신2동,40.1,7.7,-5.4,318,166,91
창신3동,1.9,9.34,7.2,420,112,21
천연동,33.0,4.64,-27.7,336,328,406
천호1동,65.3,5.61,-12.0,264,267,212
천호2동,473.3,8.16,-9.4,46,139,155
천호3동,199.3,13.3,-6.2,121,53,103
청구동,22.5,5.41,-26.9,366,277,404
청담동,1006.4,9.07,-5.7,19,122,95
청량리동,140.2,6.45,-4.8,159,221,82
청룡동,446.9,15.51,-17.0,49,40,315
청림동,6.1,3.99,-23.0,414,360,381
청운효자동,203.9,19.28,1.8,116,20,33
청파동,267.7,16.67,-18.6,89,33,339
충현동,105.1,8.15,-10.5,199,141,179
평창동,12.6,3.68,-22.3,398,378,377
풍납1동,13.8,3.4,-16.3,395,392,301
풍납2동,39.5,3.92,-23.5,321,367,385
필동,249.8,16.97,-2.8,100,30,63
하계1동,90.6,3.97,-8.5,220,364,138
하계2동,6.6,5.83,5.9,412,250,24
한강로동,1510.2,6.22,-8.3,10,235,135
한남동,672.1,17.75,-4.8,27,26,82
합정동,475.0,17.21,-5.0,45,28,86
항동,0.3,5.0,-52.8,423,309,423
행당1동,203.7,12.36,-7.3,118,64,117
행당2동,13.0,5.42,0.4,397,276,39
행운동,202.2,13.25,-16.8,120,54,312
